Genome	Color	Family
MZ375282	#8B4FE0	Autographiviridae
MZ375281	#8B4FE0	Autographiviridae
MZ375280	#8B4FE0	Autographiviridae
MZ375279	#8B4FE0	Autographiviridae
MZ375278	#8B4FE0	Autographiviridae
MZ375277	#8B4FE0	Autographiviridae
MZ375276	#8B4FE0	Autographiviridae
MZ375275	#8B4FE0	Autographiviridae
MZ375274	#8B4FE0	Autographiviridae
MZ375273	#8B4FE0	Autographiviridae
MZ375272	#8B4FE0	Autographiviridae
MZ375271	#8B4FE0	Autographiviridae
MZ375270	#8B4FE0	Autographiviridae
MZ375269	#8B4FE0	Autographiviridae
MZ375268	#8B4FE0	Autographiviridae
MZ375267	#8B4FE0	Autographiviridae
MZ375266	#8B4FE0	Autographiviridae
MZ375265	#8B4FE0	Autographiviridae
MZ375264	#8B4FE0	Autographiviridae
MZ375263	#8B4FE0	Autographiviridae
MZ375262	#8B4FE0	Autographiviridae
MZ375261	#8B4FE0	Autographiviridae
MZ375260	#8B4FE0	Autographiviridae
MZ375259	#8B4FE0	Autographiviridae
MZ375258	#8B4FE0	Autographiviridae
MZ375257	#8B4FE0	Autographiviridae
MZ375256	#8B4FE0	Autographiviridae
MZ375255	#8B4FE0	Autographiviridae
MZ375254	#8B4FE0	Autographiviridae
MZ375253	#8B4FE0	Autographiviridae
MZ375252	#8B4FE0	Autographiviridae
MZ375251	#8B4FE0	Autographiviridae
MZ375250	#8B4FE0	Autographiviridae
MZ375249	#8B4FE0	Autographiviridae
MZ375248	#8B4FE0	Autographiviridae
MZ375247	#8B4FE0	Autographiviridae
MZ375246	#8B4FE0	Autographiviridae
MZ375245	#8B4FE0	Autographiviridae
MZ375244	#8B4FE0	Autographiviridae
MZ375243	#8B4FE0	Autographiviridae
MZ375242	#8B4FE0	Autographiviridae
MZ375241	#8B4FE0	Autographiviridae
MZ375240	#8B4FE0	Autographiviridae
MZ375239	#8B4FE0	Autographiviridae
MZ375238	#8B4FE0	Autographiviridae
MZ375237	#8B4FE0	Autographiviridae
MZ375236	#8B4FE0	Autographiviridae
MZ375235	#8B4FE0	Autographiviridae
MZ375234	#8B4FE0	Autographiviridae
MZ375233	#8B4FE0	Autographiviridae
MZ436830	#D3D3D3	Unclassified
MZ501272	#7EF23B	Podoviridae
MZ501271	#3457A9	Siphoviridae
MZ501270	#3457A9	Siphoviridae
