Genome	Color	Family
NC_028842	#3457A9	Siphoviridae
NC_028841	#D3D3D3	Unclassified
NC_028837	#3457A9	Siphoviridae
NC_028836	#8B4FE0	Autographiviridae
NC_028835	#3457A9	Siphoviridae
NC_028834	#3457A9	Siphoviridae
NC_028832	#3457A9	Siphoviridae
NC_028831	#3457A9	Siphoviridae
NC_028830	#3457A9	Siphoviridae
NC_028829	#59520F	Myoviridae
NC_028828	#3457A9	Siphoviridae
NC_028827	#3457A9	Siphoviridae
NC_028826	#3457A9	Siphoviridae
NC_028825	#59520F	Myoviridae
NC_028823	#3457A9	Siphoviridae
NC_028822	#8B4FE0	Autographiviridae
NC_028821	#3457A9	Siphoviridae
NC_028820	#59520F	Myoviridae
NC_028819	#3457A9	Siphoviridae
NC_028818	#3457A9	Siphoviridae
NC_028817	#59520F	Myoviridae
NC_028816	#8B4FE0	Autographiviridae
NC_028815	#3457A9	Siphoviridae
NC_028813	#3457A9	Siphoviridae
NC_028812	#3457A9	Siphoviridae
NC_028810	#3457A9	Siphoviridae
NC_028809	#3457A9	Siphoviridae
NC_028807	#3457A9	Siphoviridae
NC_028805	#3457A9	Siphoviridae
NC_028804	#3457A9	Siphoviridae
NC_028802	#3457A9	Siphoviridae
NC_028801	#3457A9	Siphoviridae
NC_028800	#8B4FE0	Autographiviridae
NC_028799	#7EB106	Schitoviridae
NC_028798	#3457A9	Siphoviridae
NC_028796	#3457A9	Siphoviridae
NC_028795	#8B4FE0	Autographiviridae
NC_028794	#3457A9	Siphoviridae
NC_028792	#3457A9	Siphoviridae
NC_028789	#FE207A	Salasmaviridae
NC_028788	#3457A9	Siphoviridae
NC_028787	#2F92F7	Ampullaviridae
NC_028786	#3835C7	Drexlerviridae
NC_028785	#3457A9	Siphoviridae
NC_028784	#3457A9	Siphoviridae
NC_028783	#3457A9	Siphoviridae
NC_028782	#7EF23B	Podoviridae
NC_028780	#59520F	Myoviridae
NC_028779	#3457A9	Siphoviridae
NC_028778	#3457A9	Siphoviridae
NC_028776	#3457A9	Siphoviridae
NC_028775	#3457A9	Siphoviridae
NC_028774	#3835C7	Drexlerviridae
NC_028773	#59520F	Myoviridae
NC_028770	#3457A9	Siphoviridae
NC_028768	#3457A9	Siphoviridae
NC_028767	#3457A9	Siphoviridae
NC_028766	#59520F	Myoviridae
NC_028765	#1720E1	Herelleviridae
NC_028763	#3457A9	Siphoviridae
NC_028762	#59520F	Myoviridae
NC_028760	#3835C7	Drexlerviridae
NC_028759	#3457A9	Siphoviridae
NC_028758	#3457A9	Siphoviridae
NC_028757	#3457A9	Siphoviridae
NC_028754	#39F0F4	Demerecviridae
NC_028751	#3457A9	Siphoviridae
NC_028750	#59520F	Myoviridae
NC_028749	#3457A9	Siphoviridae
NC_028747	#3457A9	Siphoviridae
NC_028746	#3457A9	Siphoviridae
NC_028745	#59520F	Myoviridae
NC_028247	#59520F	Myoviridae
NC_028744	#3457A9	Siphoviridae
NC_028743	#3457A9	Siphoviridae
NC_028742	#3457A9	Siphoviridae
NC_028698	#3457A9	Siphoviridae
NC_028672	#59520F	Myoviridae
NC_028659	#59520F	Myoviridae
NC_028702	#8B4FE0	Autographiviridae
NC_028700	#3457A9	Siphoviridae
NC_028699	#59520F	Myoviridae
NC_028697	#3457A9	Siphoviridae
NC_028694	#3457A9	Siphoviridae
NC_028692	#3457A9	Siphoviridae
NC_028691	#3457A9	Siphoviridae
NC_028690	#3457A9	Siphoviridae
NC_028689	#3457A9	Siphoviridae
NC_028688	#8B4FE0	Autographiviridae
NC_028687	#3457A9	Siphoviridae
NC_028686	#59520F	Myoviridae
NC_028685	#7EF23B	Podoviridae
NC_028684	#8B4FE0	Autographiviridae
NC_028683	#59520F	Myoviridae
NC_028682	#3457A9	Siphoviridae
NC_028680	#3457A9	Siphoviridae
NC_028679	#8B4FE0	Autographiviridae
NC_028678	#3457A9	Siphoviridae
NC_028677	#3457A9	Siphoviridae
NC_028676	#12D623	Ackermannviridae
NC_028675	#8B4FE0	Autographiviridae
NC_028674	#3457A9	Siphoviridae
NC_028673	#3457A9	Siphoviridae
NC_028670	#8B4FE0	Autographiviridae
NC_028669	#3457A9	Siphoviridae
NC_028668	#3457A9	Siphoviridae
NC_028667	#3457A9	Siphoviridae
NC_028666	#3457A9	Siphoviridae
NC_028665	#3457A9	Siphoviridae
NC_028664	#8B4FE0	Autographiviridae
NC_028663	#59520F	Myoviridae
NC_028662	#3457A9	Siphoviridae
NC_028661	#8B4FE0	Autographiviridae
NC_028660	#7EF23B	Podoviridae
NC_028658	#3457A9	Siphoviridae
NC_028657	#3457A9	Siphoviridae
NC_028656	#7EF23B	Podoviridae
NC_028655	#8B4FE0	Autographiviridae
NC_028654	#3457A9	Siphoviridae
NC_028653	#3457A9	Siphoviridae
NC_028652	#59520F	Myoviridae
NC_028651	#D3D3D3	Unclassified
NC_028449	#7EF23B	Podoviridae
NC_028448	#59520F	Myoviridae
NC_028268	#D3D3D3	Unclassified
NC_028256	#9154C0	Guttaviridae
NC_028248	#59520F	Myoviridae
NC_027988	#F01164	Zobellviridae
NC_026610	#3457A9	Siphoviridae
NC_024142	#7EB106	Schitoviridae
NC_021529	#59520F	Myoviridae
NC_020490	#3457A9	Siphoviridae
NC_018087	#59520F	Myoviridae
NC_010275	#59520F	Myoviridae
NC_009763	#3457A9	Siphoviridae
NC_009761	#3457A9	Siphoviridae
NC_009762	#3457A9	Siphoviridae
NC_005964	#D3D3D3	Unclassified
NC_004914	#7EF23B	Podoviridae
NC_004913	#7EF23B	Podoviridae
NC_003157	#3457A9	Siphoviridae
NC_002628	#3457A9	Siphoviridae
NC_002484	#3457A9	Siphoviridae
NC_011085	#8B4FE0	Autographiviridae
NC_009799	#3457A9	Siphoviridae
NC_008206	#3457A9	Siphoviridae
NC_008202	#3457A9	Siphoviridae
NC_005262	#7EF23B	Podoviridae
NC_003390	#8B4FE0	Autographiviridae
NC_001978	#3457A9	Siphoviridae
NC_027995	#59520F	Myoviridae
NC_027986	#3457A9	Siphoviridae
NC_027992	#3457A9	Siphoviridae
NC_027987	#3457A9	Siphoviridae
NC_027983	#59520F	Myoviridae
NC_027979	#59520F	Myoviridae
NC_027997	#59520F	Myoviridae
NC_027996	#59520F	Myoviridae
NC_027994	#3457A9	Siphoviridae
NC_027993	#3457A9	Siphoviridae
NC_027991	#59520F	Myoviridae
NC_027990	#59520F	Myoviridae
NC_027989	#59520F	Myoviridae
NC_027985	#3457A9	Siphoviridae
NC_027982	#3457A9	Siphoviridae
NC_027981	#59520F	Myoviridae
NC_027980	#8B4FE0	Autographiviridae
NC_027630	#3457A9	Siphoviridae
NC_027629	#3457A9	Siphoviridae
NC_027628	#3457A9	Siphoviridae
NC_027627	#3457A9	Siphoviridae
NC_027626	#3457A9	Siphoviridae
NC_027625	#3457A9	Siphoviridae
NC_027624	#3457A9	Siphoviridae
NC_027622	#3457A9	Siphoviridae
NC_027621	#3457A9	Siphoviridae
NC_027620	#3457A9	Siphoviridae
NC_024124	#59520F	Myoviridae
NC_026607	#59520F	Myoviridae
NC_027397	#7EF23B	Podoviridae
NC_027396	#3457A9	Siphoviridae
NC_027395	#7EF23B	Podoviridae
NC_027393	#7EF23B	Podoviridae
NC_027392	#3457A9	Siphoviridae
NC_027391	#3457A9	Siphoviridae
NC_027390	#8B4FE0	Autographiviridae
NC_027389	#3457A9	Siphoviridae
NC_027388	#7EB106	Schitoviridae
NC_027386	#3457A9	Siphoviridae
NC_027385	#3457A9	Siphoviridae
NC_027384	#3457A9	Siphoviridae
NC_027383	#3457A9	Siphoviridae
NC_027382	#59520F	Myoviridae
NC_027381	#7EB106	Schitoviridae
NC_027380	#3457A9	Siphoviridae
NC_027379	#8B4FE0	Autographiviridae
NC_027377	#3457A9	Siphoviridae
NC_027376	#3457A9	Siphoviridae
NC_027375	#8B4FE0	Autographiviridae
NC_027373	#3457A9	Siphoviridae
NC_027370	#3457A9	Siphoviridae
NC_027367	#3457A9	Siphoviridae
NC_027365	#3457A9	Siphoviridae
NC_027363	#8B4FE0	Autographiviridae
NC_027362	#3457A9	Siphoviridae
NC_027361	#3457A9	Siphoviridae
NC_027360	#59520F	Myoviridae
NC_027359	#3457A9	Siphoviridae
NC_027358	#3457A9	Siphoviridae
NC_027357	#3457A9	Siphoviridae
NC_027356	#39F0F4	Demerecviridae
NC_027355	#1720E1	Herelleviridae
NC_027354	#3457A9	Siphoviridae
NC_027352	#1720E1	Herelleviridae
NC_027350	#3835C7	Drexlerviridae
NC_027349	#59520F	Myoviridae
NC_027347	#3457A9	Siphoviridae
NC_027346	#3457A9	Siphoviridae
NC_027342	#8B4FE0	Autographiviridae
NC_027341	#3457A9	Siphoviridae
NC_027339	#59520F	Myoviridae
NC_027337	#59520F	Myoviridae
NC_027336	#3457A9	Siphoviridae
NC_027333	#3457A9	Siphoviridae
NC_027332	#59520F	Myoviridae
NC_027331	#59520F	Myoviridae
NC_027329	#59520F	Myoviridae
NC_027405	#3457A9	Siphoviridae
NC_027404	#59520F	Myoviridae
NC_027403	#3457A9	Siphoviridae
NC_027402	#59520F	Myoviridae
NC_027401	#3457A9	Siphoviridae
NC_027400	#3457A9	Siphoviridae
NC_027399	#59520F	Myoviridae
NC_027398	#7EF23B	Podoviridae
NC_027387	#8B4FE0	Autographiviridae
NC_027371	#3457A9	Siphoviridae
NC_027369	#59520F	Myoviridae
NC_027364	#59520F	Myoviridae
NC_027353	#59520F	Myoviridae
NC_027351	#59520F	Myoviridae
NC_027345	#7EB106	Schitoviridae
NC_027344	#59520F	Myoviridae
NC_027340	#12D623	Ackermannviridae
NC_027335	#1720E1	Herelleviridae
NC_027334	#59520F	Myoviridae
NC_027330	#8B4FE0	Autographiviridae
NC_027394	#7EF23B	Podoviridae
NC_027378	#3457A9	Siphoviridae
NC_027374	#1720E1	Herelleviridae
NC_027372	#7EF23B	Podoviridae
NC_027366	#1720E1	Herelleviridae
NC_027295	#3457A9	Siphoviridae
NC_027299	#7EF23B	Podoviridae
NC_027298	#3457A9	Siphoviridae
NC_027296	#59520F	Myoviridae
NC_027297	#39F0F4	Demerecviridae
NC_027294	#3457A9	Siphoviridae
NC_027292	#8B4FE0	Autographiviridae
NC_027293	#59520F	Myoviridae
NC_027204	#59520F	Myoviridae
NC_027130	#59520F	Myoviridae
NC_027132	#59520F	Myoviridae
NC_027125	#59520F	Myoviridae
NC_027119	#12D623	Ackermannviridae
NC_027120	#3457A9	Siphoviridae
NC_027118	#7EF23B	Podoviridae
NC_021190	#3457A9	Siphoviridae
NC_026928	#59520F	Myoviridae
NC_026927	#59520F	Myoviridae
NC_026924	#59520F	Myoviridae
NC_026923	#59520F	Myoviridae
NC_026926	#59520F	Myoviridae
NC_026611	#59520F	Myoviridae
NC_026609	#3457A9	Siphoviridae
NC_026608	#3457A9	Siphoviridae
NC_026606	#59520F	Myoviridae
NC_026605	#3457A9	Siphoviridae
NC_026604	#3457A9	Siphoviridae
NC_026603	#3457A9	Siphoviridae
NC_026602	#8B4FE0	Autographiviridae
NC_026601	#3457A9	Siphoviridae
NC_026600	#59520F	Myoviridae
NC_026599	#7EF23B	Podoviridae
NC_026598	#3457A9	Siphoviridae
NC_026597	#3457A9	Siphoviridae
NC_026596	#3457A9	Siphoviridae
NC_026595	#3457A9	Siphoviridae
NC_026594	#3457A9	Siphoviridae
NC_026593	#3457A9	Siphoviridae
NC_026591	#3457A9	Siphoviridae
NC_026590	#3457A9	Siphoviridae
NC_026589	#3457A9	Siphoviridae
NC_026588	#3457A9	Siphoviridae
NC_026587	#59520F	Myoviridae
NC_026586	#59520F	Myoviridae
NC_026585	#3457A9	Siphoviridae
NC_026584	#3457A9	Siphoviridae
NC_026583	#3457A9	Siphoviridae
NC_026017	#3457A9	Siphoviridae
NC_026016	#3457A9	Siphoviridae
NC_026014	#59520F	Myoviridae
NC_026010	#3835C7	Drexlerviridae
NC_025830	#59520F	Myoviridae
NC_025829	#59520F	Myoviridae
NC_025822	#8B4FE0	Autographiviridae
NC_023693	#59520F	Myoviridae
NC_025453	#3457A9	Siphoviridae
NC_025446	#12D623	Ackermannviridae
NC_025445	#8B4FE0	Autographiviridae
NC_025441	#59520F	Myoviridae
NC_025440	#1720E1	Herelleviridae
NC_025437	#59520F	Myoviridae
NC_025434	#7EF23B	Podoviridae
NC_025423	#1720E1	Herelleviridae
NC_025422	#59520F	Myoviridae
NC_025418	#8B4FE0	Autographiviridae
NC_025417	#1720E1	Herelleviridae
NC_025416	#1720E1	Herelleviridae
NC_025460	#3457A9	Siphoviridae
NC_025470	#59520F	Myoviridae
NC_025452	#12D623	Ackermannviridae
NC_025448	#59520F	Myoviridae
NC_025425	#59520F	Myoviridae
NC_025419	#59520F	Myoviridae
NC_025414	#59520F	Myoviridae
NC_025467	#EAD453	Rountreeviridae
NC_025466	#3457A9	Siphoviridae
NC_025465	#3457A9	Siphoviridae
NC_025464	#8B4FE0	Autographiviridae
NC_025463	#3457A9	Siphoviridae
NC_025462	#59520F	Myoviridae
NC_025461	#8B4FE0	Autographiviridae
NC_025459	#DDF028	Chaseviridae
NC_025458	#59520F	Myoviridae
NC_025457	#8B4FE0	Autographiviridae
NC_025456	#8B4FE0	Autographiviridae
NC_025455	#8B4FE0	Autographiviridae
NC_025451	#8B4FE0	Autographiviridae
NC_025450	#8B4FE0	Autographiviridae
NC_025449	#59520F	Myoviridae
NC_025447	#59520F	Myoviridae
NC_025443	#3457A9	Siphoviridae
NC_025442	#3457A9	Siphoviridae
NC_025439	#3457A9	Siphoviridae
NC_025438	#3457A9	Siphoviridae
NC_025436	#59520F	Myoviridae
NC_025433	#3457A9	Siphoviridae
NC_025431	#8B4FE0	Autographiviridae
NC_025430	#59520F	Myoviridae
NC_025429	#12D623	Ackermannviridae
NC_025428	#3457A9	Siphoviridae
NC_025427	#59520F	Myoviridae
NC_025426	#1720E1	Herelleviridae
NC_025424	#3457A9	Siphoviridae
NC_025421	#3457A9	Siphoviridae
NC_025420	#3457A9	Siphoviridae
NC_025415	#3457A9	Siphoviridae
NC_025375	#861FF9	Rudiviridae
NC_024125	#59520F	Myoviridae
NC_024369	#59520F	Myoviridae
NC_025115	#59520F	Myoviridae
NC_024794	#59520F	Myoviridae
NC_024793	#3835C7	Drexlerviridae
NC_024792	#1720E1	Herelleviridae
NC_024791	#F01164	Zobellviridae
NC_024790	#7EB106	Schitoviridae
NC_024789	#3835C7	Drexlerviridae
NC_024788	#1720E1	Herelleviridae
NC_024787	#1720E1	Herelleviridae
NC_024786	#7EB106	Schitoviridae
NC_024785	#59520F	Myoviridae
NC_024784	#3835C7	Drexlerviridae
NC_024783	#3457A9	Siphoviridae
NC_024782	#3457A9	Siphoviridae
NC_020858	#7EF23B	Podoviridae
NC_020856	#7EF23B	Podoviridae
NC_024392	#3457A9	Siphoviridae
NC_024391	#3457A9	Siphoviridae
NC_024390	#3457A9	Siphoviridae
NC_024389	#3457A9	Siphoviridae
NC_024388	#3457A9	Siphoviridae
NC_024387	#3457A9	Siphoviridae
NC_024386	#3457A9	Siphoviridae
NC_024385	#3457A9	Siphoviridae
NC_024384	#3457A9	Siphoviridae
NC_024383	#1720E1	Herelleviridae
NC_024380	#3457A9	Siphoviridae
NC_024379	#8B4FE0	Autographiviridae
NC_024378	#3457A9	Siphoviridae
NC_024381	#3457A9	Siphoviridae
NC_024375	#3457A9	Siphoviridae
NC_024371	#3457A9	Siphoviridae
NC_024368	#3457A9	Siphoviridae
NC_024367	#7EB106	Schitoviridae
NC_024366	#3457A9	Siphoviridae
NC_024363	#3457A9	Siphoviridae
NC_024362	#8B4FE0	Autographiviridae
NC_024359	#1720E1	Herelleviridae
NC_024358	#7EF23B	Podoviridae
NC_024356	#3457A9	Siphoviridae
NC_024355	#3457A9	Siphoviridae
NC_024354	#59520F	Myoviridae
NC_024370	#3457A9	Siphoviridae
NC_024365	#3457A9	Siphoviridae
NC_024364	#1720E1	Herelleviridae
NC_024361	#3457A9	Siphoviridae
NC_024360	#1720E1	Herelleviridae
NC_024357	#3457A9	Siphoviridae
NC_024330	#3457A9	Siphoviridae
NC_023863	#7EF23B	Podoviridae
NC_005880	#1720E1	Herelleviridae
NC_015272	#59520F	Myoviridae
NC_023558	#8B4FE0	Autographiviridae
NC_023595	#3457A9	Siphoviridae
NC_024217	#D3D3D3	Unclassified
NC_024215	#3457A9	Siphoviridae
NC_024214	#3457A9	Siphoviridae
NC_024209	#3457A9	Siphoviridae
NC_024208	#3457A9	Siphoviridae
NC_024203	#3457A9	Siphoviridae
NC_024212	#3457A9	Siphoviridae
NC_024216	#1720E1	Herelleviridae
NC_024213	#1720E1	Herelleviridae
NC_024211	#1720E1	Herelleviridae
NC_024210	#3835C7	Drexlerviridae
NC_024207	#1720E1	Herelleviridae
NC_024205	#1720E1	Herelleviridae
NC_024204	#3457A9	Siphoviridae
NC_024149	#EAD453	Rountreeviridae
NC_024148	#3457A9	Siphoviridae
NC_024147	#3457A9	Siphoviridae
NC_024146	#3457A9	Siphoviridae
NC_024145	#3457A9	Siphoviridae
NC_024144	#59520F	Myoviridae
NC_024143	#3457A9	Siphoviridae
NC_024141	#3457A9	Siphoviridae
NC_024140	#7EB106	Schitoviridae
NC_024139	#39F0F4	Demerecviridae
NC_024138	#3457A9	Siphoviridae
NC_024137	#1720E1	Herelleviridae
NC_024136	#3457A9	Siphoviridae
NC_024135	#3457A9	Siphoviridae
NC_024134	#59520F	Myoviridae
NC_024121	#59520F	Myoviridae
NC_024123	#7EF23B	Podoviridae
NC_024122	#12D623	Ackermannviridae
NC_023567	#8B4FE0	Autographiviridae
NC_022088	#1720E1	Herelleviridae
NC_021342	#59520F	Myoviridae
NC_023748	#3457A9	Siphoviridae
NC_023746	#3457A9	Siphoviridae
NC_023745	#3457A9	Siphoviridae
NC_023744	#3457A9	Siphoviridae
NC_023742	#3457A9	Siphoviridae
NC_023741	#3457A9	Siphoviridae
NC_022980	#59520F	Myoviridae
NC_022774	#3457A9	Siphoviridae
NC_022768	#12D623	Ackermannviridae
NC_022972	#3457A9	Siphoviridae
NC_023865	#DDF028	Chaseviridae
NC_023862	#3457A9	Siphoviridae
NC_023859	#3457A9	Siphoviridae
NC_023856	#12D623	Ackermannviridae
NC_023841	#7EF23B	Podoviridae
NC_023740	#3457A9	Siphoviridae
NC_023739	#3457A9	Siphoviridae
NC_023738	#3457A9	Siphoviridae
NC_023737	#59520F	Myoviridae
NC_023736	#8B4FE0	Autographiviridae
NC_023735	#3457A9	Siphoviridae
NC_023734	#3457A9	Siphoviridae
NC_023733	#59520F	Myoviridae
NC_023732	#3457A9	Siphoviridae
NC_023731	#3457A9	Siphoviridae
NC_023730	#3457A9	Siphoviridae
NC_023729	#3457A9	Siphoviridae
NC_023728	#3457A9	Siphoviridae
NC_023727	#3457A9	Siphoviridae
NC_023726	#3457A9	Siphoviridae
NC_023725	#59520F	Myoviridae
NC_023724	#3457A9	Siphoviridae
NC_023723	#3457A9	Siphoviridae
NC_023722	#3457A9	Siphoviridae
NC_023721	#3457A9	Siphoviridae
NC_023720	#3457A9	Siphoviridae
NC_023719	#59520F	Myoviridae
NC_023717	#59520F	Myoviridae
NC_023716	#3457A9	Siphoviridae
NC_023715	#8B4FE0	Autographiviridae
NC_023714	#59520F	Myoviridae
NC_023713	#3457A9	Siphoviridae
NC_023712	#3457A9	Siphoviridae
NC_023711	#3457A9	Siphoviridae
NC_023710	#3457A9	Siphoviridae
NC_023709	#3457A9	Siphoviridae
NC_023708	#3457A9	Siphoviridae
NC_023707	#3457A9	Siphoviridae
NC_023706	#3457A9	Siphoviridae
NC_023704	#3457A9	Siphoviridae
NC_023703	#3457A9	Siphoviridae
NC_023702	#3457A9	Siphoviridae
NC_023701	#3457A9	Siphoviridae
NC_023700	#3457A9	Siphoviridae
NC_023699	#3457A9	Siphoviridae
NC_023698	#3457A9	Siphoviridae
NC_023697	#3457A9	Siphoviridae
NC_023696	#59520F	Myoviridae
NC_023695	#3457A9	Siphoviridae
NC_023694	#3457A9	Siphoviridae
NC_023692	#3457A9	Siphoviridae
NC_023691	#3457A9	Siphoviridae
NC_023690	#3457A9	Siphoviridae
NC_023689	#3457A9	Siphoviridae
NC_023688	#59520F	Myoviridae
NC_023687	#3457A9	Siphoviridae
NC_023686	#3457A9	Siphoviridae
NC_020862	#7EB106	Schitoviridae
NC_023614	#3457A9	Siphoviridae
NC_023612	#3457A9	Siphoviridae
NC_023609	#3457A9	Siphoviridae
NC_023607	#3457A9	Siphoviridae
NC_023605	#7EF23B	Podoviridae
NC_023604	#3457A9	Siphoviridae
NC_023603	#3457A9	Siphoviridae
NC_023602	#3457A9	Siphoviridae
NC_023600	#3457A9	Siphoviridae
NC_023553	#3457A9	Siphoviridae
NC_023552	#3457A9	Siphoviridae
NC_023551	#3457A9	Siphoviridae
NC_023550	#EAD453	Rountreeviridae
NC_023549	#3457A9	Siphoviridae
NC_023606	#3457A9	Siphoviridae
NC_023599	#3457A9	Siphoviridae
NC_023597	#3457A9	Siphoviridae
NC_023593	#7EF23B	Podoviridae
NC_023590	#3457A9	Siphoviridae
NC_023589	#7EB106	Schitoviridae
NC_023588	#59520F	Myoviridae
NC_023587	#59520F	Myoviridae
NC_023584	#59520F	Myoviridae
NC_023582	#3457A9	Siphoviridae
NC_023581	#7EB106	Schitoviridae
NC_023580	#3457A9	Siphoviridae
NC_023579	#7EB106	Schitoviridae
NC_023578	#3457A9	Siphoviridae
NC_023577	#3457A9	Siphoviridae
NC_023574	#3457A9	Siphoviridae
NC_023572	#3457A9	Siphoviridae
NC_023570	#8B4FE0	Autographiviridae
NC_023569	#3457A9	Siphoviridae
NC_023566	#3457A9	Siphoviridae
NC_023565	#3457A9	Siphoviridae
NC_023564	#3457A9	Siphoviridae
NC_023563	#3457A9	Siphoviridae
NC_023562	#3457A9	Siphoviridae
NC_023561	#59520F	Myoviridae
NC_023557	#59520F	Myoviridae
NC_023556	#7EB106	Schitoviridae
NC_023555	#3457A9	Siphoviridae
NC_023554	#3457A9	Siphoviridae
NC_023610	#59520F	Myoviridae
NC_023608	#3457A9	Siphoviridae
NC_023592	#CED0E7	Pleolipoviridae
NC_023585	#DCD863	Bicaudaviridae
NC_023583	#7EF23B	Podoviridae
NC_023576	#8B4FE0	Autographiviridae
NC_023575	#7EF23B	Podoviridae
NC_023573	#1720E1	Herelleviridae
NC_023571	#3457A9	Siphoviridae
NC_023568	#59520F	Myoviridae
NC_023560	#3457A9	Siphoviridae
NC_023559	#3457A9	Siphoviridae
NC_023548	#8B4FE0	Autographiviridae
NC_023502	#3457A9	Siphoviridae
NC_023501	#1720E1	Herelleviridae
NC_023500	#3457A9	Siphoviridae
NC_023499	#3457A9	Siphoviridae
NC_023503	#3457A9	Siphoviridae
NC_021781	#1720E1	Herelleviridae
NC_021539	#3457A9	Siphoviridae
NC_021787	#3457A9	Siphoviridae
NC_022764	#7EF23B	Podoviridae
NC_022762	#3457A9	Siphoviridae
NC_022775	#3457A9	Siphoviridae
NC_022773	#3457A9	Siphoviridae
NC_022772	#12D623	Ackermannviridae
NC_022771	#1720E1	Herelleviridae
NC_022770	#7EF23B	Podoviridae
NC_022769	#1720E1	Herelleviridae
NC_022767	#3457A9	Siphoviridae
NC_022766	#3457A9	Siphoviridae
NC_022765	#3457A9	Siphoviridae
NC_022763	#1720E1	Herelleviridae
NC_020081	#1720E1	Herelleviridae
NC_012223	#3457A9	Siphoviridae
NC_023009	#1720E1	Herelleviridae
NC_023007	#3457A9	Siphoviridae
NC_023006	#59520F	Myoviridae
NC_023005	#8B4FE0	Autographiviridae
NC_009232	#3457A9	Siphoviridae
NC_022989	#3457A9	Siphoviridae
NC_015294	#59520F	Myoviridae
NC_022988	#3457A9	Siphoviridae
NC_022987	#8B4FE0	Autographiviridae
NC_022986	#59520F	Myoviridae
NC_022985	#3457A9	Siphoviridae
NC_022984	#3457A9	Siphoviridae
NC_022983	#3457A9	Siphoviridae
NC_022982	#8B4FE0	Autographiviridae
NC_022981	#3457A9	Siphoviridae
NC_022979	#3457A9	Siphoviridae
NC_022977	#3457A9	Siphoviridae
NC_022976	#3457A9	Siphoviridae
NC_022975	#3457A9	Siphoviridae
NC_022974	#59520F	Myoviridae
NC_022973	#3457A9	Siphoviridae
NC_022971	#7EF23B	Podoviridae
NC_022970	#59520F	Myoviridae
NC_022969	#3457A9	Siphoviridae
NC_022968	#59520F	Myoviridae
NC_022967	#59520F	Myoviridae
NC_022966	#59520F	Myoviridae
NC_022965	#3457A9	Siphoviridae
NC_022920	#1720E1	Herelleviridae
NC_022918	#1720E1	Herelleviridae
NC_022917	#8B4FE0	Autographiviridae
NC_022916	#8B4FE0	Autographiviridae
NC_022915	#7EF23B	Podoviridae
NC_022914	#3457A9	Siphoviridae
NC_022791	#3457A9	Siphoviridae
NC_022761	#1720E1	Herelleviridae
NC_022776	#3457A9	Siphoviridae
NC_022758	#3457A9	Siphoviridae
NC_022757	#3457A9	Siphoviridae
NC_022756	#3457A9	Siphoviridae
NC_022754	#3457A9	Siphoviridae
NC_022753	#3457A9	Siphoviridae
NC_022752	#3457A9	Siphoviridae
NC_022751	#7EF23B	Podoviridae
NC_022750	#59520F	Myoviridae
NC_022749	#59520F	Myoviridae
NC_022747	#59520F	Myoviridae
NC_022746	#8B4FE0	Autographiviridae
NC_022744	#8B4FE0	Autographiviridae
NC_022343	#12D623	Ackermannviridae
NC_022342	#3457A9	Siphoviridae
NC_022341	#3457A9	Siphoviridae
NC_022340	#3457A9	Siphoviridae
NC_022339	#3457A9	Siphoviridae
NC_022338	#3457A9	Siphoviridae
NC_022337	#3457A9	Siphoviridae
NC_022336	#3457A9	Siphoviridae
NC_022335	#3457A9	Siphoviridae
NC_022334	#3457A9	Siphoviridae
NC_022330	#3457A9	Siphoviridae
NC_022329	#3457A9	Siphoviridae
NC_022328	#3457A9	Siphoviridae
NC_022325	#3457A9	Siphoviridae
NC_022324	#3457A9	Siphoviridae
NC_022323	#59520F	Myoviridae
NC_021773	#3457A9	Siphoviridae
NC_022096	#59520F	Myoviridae
NC_022094	#E546D3	Tectiviridae
NC_022091	#8B4FE0	Autographiviridae
NC_022090	#1720E1	Herelleviridae
NC_022087	#3457A9	Siphoviridae
NC_022086	#3457A9	Siphoviridae
NC_022085	#3457A9	Siphoviridae
NC_022071	#3457A9	Siphoviridae
NC_022070	#3457A9	Siphoviridae
NC_022069	#3457A9	Siphoviridae
NC_022068	#3457A9	Siphoviridae
NC_022067	#3457A9	Siphoviridae
NC_022066	#3457A9	Siphoviridae
NC_022065	#3457A9	Siphoviridae
NC_022064	#3457A9	Siphoviridae
NC_022063	#3457A9	Siphoviridae
NC_022062	#3457A9	Siphoviridae
NC_022061	#3457A9	Siphoviridae
NC_022060	#3457A9	Siphoviridae
NC_022059	#3457A9	Siphoviridae
NC_022058	#3457A9	Siphoviridae
NC_022057	#3457A9	Siphoviridae
NC_022056	#3457A9	Siphoviridae
NC_022055	#3457A9	Siphoviridae
NC_022054	#3457A9	Siphoviridae
NC_022053	#3457A9	Siphoviridae
NC_022052	#3457A9	Siphoviridae
NC_021868	#3457A9	Siphoviridae
NC_021865	#3457A9	Siphoviridae
NC_021864	#7EF23B	Podoviridae
NC_021863	#3457A9	Siphoviridae
NC_021861	#3457A9	Siphoviridae
NC_021860	#3457A9	Siphoviridae
NC_021857	#59520F	Myoviridae
NC_021855	#3457A9	Siphoviridae
NC_021854	#3457A9	Siphoviridae
NC_021853	#3457A9	Siphoviridae
NC_021852	#3457A9	Siphoviridae
NC_021806	#7EF23B	Podoviridae
NC_021804	#3457A9	Siphoviridae
NC_021803	#7EF23B	Podoviridae
NC_021802	#3457A9	Siphoviridae
NC_021801	#3457A9	Siphoviridae
